Sample_29	Sample_A49	Sample_52	Sample_37	Sample_8	Sample_14	Sample_A57	Sample_A32	Sample_A11	Sample_49	Sample_A29	Sample_32	Sample_11	Sample_57	Sample_A37	Sample_A14	Sample_A52	Sample_A43	Sample_A60	Sample_A05	Sample_A26	Sample_46	Sample_65	Sample_23	Sample_A38	Sample_58	Sample_2	Sample_A23	Sample_A46	Sample_26	Sample_43	Sample_60	Sample_A58	Sample_38	Sample_7	Sample_6	Sample_39	Sample_A59	Sample_61	Sample_42	Sample_27	Sample_A64	Sample_A47	Sample_A22	Sample_A01	Sample_3	Sample_59	Sample_A39	Sample_22	Sample_64	Sample_47	Sample_A27	Sample_A04	Sample_A61	Sample_A42	Sample_A53	Sample_A15	Sample_A36	Sample_56	Sample_10	Sample_33	Sample_A28	Sample_48	Sample_A10	Sample_A33	Sample_A56	Sample_9	Sample_15	Sample_36	Sample_53	Sample_A48	Sample_28	Sample_51	Sample_17	Sample_34	Sample_A54	Sample_A12	Sample_A31	Sample_A09	Sample_12	Sample_31	Sample_54	Sample_A17	Sample_A34	Sample_A51	Sample_A63	Sample_A40	Sample_A25	Sample_A06	Sample_45	Sample_20	Sample_A18	Sample_1	Sample_A20	Sample_A03	Sample_A45	Sample_25	Sample_63	Sample_40	Sample_18	Sample_4	Sample_19	Sample_5	Sample_41	Sample_62	Sample_24	Sample_A44	Sample_A02	Sample_A21	Sample_A19	Sample_21	Sample_44	Sample_A07	Sample_A24	Sample_A41	Sample_A62	Sample_A50	Sample_A35	Sample_A16	Sample_55	Sample_30	Sample_13	Sample_A08	Sample_A30	Sample_A13	Sample_A55	Sample_35	Sample_16	Sample_50
mOTU_linkage_group_19	0	532608.65625	0	0	0	0	0	0	0	0	17064	0	0	0	0	105480.5	217673.3359375	2949.49987793	0	0	0	0	0	203879.5	0	0	0	0	7189.5	0	16075.5	0	0	0	29560	2214	0	0	0	0	487.5	20988.5	4418	0	0	141973	0	0	0	2559.5	0	0	98326	0	0	926	0	0	246	0	0	1251	0	0	0	0	0	235863.5	0	0	146094.5	0	0	0	0	6607	0	0	1213366.5	103061	96044.5	0	478288	31.5	0	0	0	0	16432.5	0	0	0	0	0	0	0	0	0	28621	0	134127.5	0	0	123	0	0	90448	1580223.5	0	0	0	0	48141	0	11485.5	0	281179.5	0	256537	0	0	0	0	0	0	93439	11233.5004883	0	0
mOTU_linkage_group_20	0	9270	0	0	3488	0	0	0	0	0	3501	0	0	0	0	0	7184.5	218	0	0	0	0	0	124975.5	0	0	0	0	4528	0	122828.5	0	0	0	92636.5	1942	0	0	0	0	530.5	25105.5	0	0	0	0	0	0	0	8109.5	0	0	1788	0	0	44.5	0	0	0	0	0	0	0	0	0	0	0	51347	0	0	45351.5	0	0	0	0	0	0	0	18128.5	0	380446	0	0	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	3426	0	0	484	0	0	0	0	0	23445.5	17785.5	0	783	0	0	6284.5	0	0	10199.5	25764.5	0	0	0	0	0	0	0	0	11240.5	3323	463	0
mOTU_linkage_group_24	11554.5009766	0	0	24623.00097655	240.9999923705	0	670.4999694825	49904	0	0	914.0000305175	0	402.500015259	954	0	0	70177.5	658.9999694825	47609.5	0	614.5	19284.5	1722.00012207	15888.5	99.5	439.5000305175	0	19105.5004883	3621	222.5	0	0	2689	0	188162.4921875	73586.5	0	7692.99975586	246	0	0	0	65432	574.5	0	4727.5	1477.5	110310.5	6171.5	5000	105	125894.503906	0	0	14594.0004883	6915	62506.5	99093.5	35556	1003.5	0	3549.5	0	0	3069.5	68994.5	2030.5	0	790.5	0	947.5	2549	0	0	173373.0078125	0	0	168	0	36451.9980469	15243	95196.00390625	99276	52393	1738.5	2973	309.499984741	138.5	0	2884	2661.5	8155.5	10287.49951172	2664.5	0	143240.5	0	67245.5	5943	394.499984741	0	1134682	0	94433.5	88296.5	11463.0004883	8929.5	0	270389.0078125	2480	0	3454.99987793	0	117.5	1575.5	0	0	564.499984741	0	0	40.4999961853	22011	0	58533	0	0	0	2095.500061035	0
mOTU_linkage_group_25	47295	0	0	0	0	0	0	0	0	0	0	0	0	0	433.5	0	0	0	0	0	0	233	0	0	0	0	1045.5	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0	0	0	0	1154.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	273.5	0	0	20791.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	248	3794	0	8171	0	0
mOTU_linkage_group_26	0	0	0	2134.5	1257	0	0	0	28996.5	0	0	0	0	0	0	0	0	0	0	1715.5	0	0	0	0	0	0	0	0	0	4030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2810.5	0	12989	0	3416	0	0	0	0	0	0	0	4846	0	0	0	0	0	0	5915.5	0	0	0	0	2328.5	0	0	1142	0	1371	0	0	2736.5	0	0	0	0	0	0	0	0	0	0	0	0	0	119472	0	21991.5	0	0	0	0	0	0	0	0	7800	712.9999694825	0	0	0	0	0	0	0	1622	325.5	0	0	0	0	0	0	0	0	3586.5	0	186	0	0	0	0	0	0
mOTU_linkage_group_28	0	0	0	0	0	0	0	0	0	0	570.5	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2787	0	1952	0	0	0	15	0	0	0	0	1753.5	0	0	0	0	0	0	0	0	13532	0	0	0	0	1011.5	1097	0	0	0	148352.5	0	0	0	0	0	0	0	0	159.5	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_33	0	0	0	61.5	0	0	0	0	0	0	602.5	0	0	0	0	0	0	2778	0	0	0	8438.5	0	0	0	0	0	0	0	0	0	0	0	3981	0	0	0	0	0	0	0	0	1845	1100.5	0	0	0	0	0	0	0	0	0	0	7642	0	0	0	0	381.5	0	185.5	0	0	0	0	0	0	0	0	0	0	0	2117	0	0	0	248	0	0	0	0	0	0	64545.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7468.5	0	0	0	0	0
mOTU_linkage_group_34	0	0	0	0	0	0	0	0	0	0	17599	0	0	0	0	15622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369669.5	0	314946	0	0	0	9875.5	0	0	0	0	224068.015625	0	0	0	0	0	0	0	0	4099.5	0	0	0	0	129741.5	97838.5	0	0	0	109946.503906	0	0	0	0	0	0	0	0	16868.5	0	0	0	0	0	0	0	0	0	0	0	2732.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4663	0	0	0	0	0	0	0	181505.4921875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_40	0	0	33370.5	0	3339.5	0	0	0	0	0	21719.5	0	0	0	0	57462.5	0	0	0	0	0	0	0	460.5	172146.5	0	0	0	1789	0	62533.5	0	0	0	39616.5	0	0	3241	0	0	0	8894.5	0	0	10381.5	232	0	0	7365.5	67345	0	0	137700.5	0	0	0	32	0	0	0	0	0	0	0	0	0	0	19027.5	0	0	16624.5	0	0	0	0	0	0	0	251115.5	41071.5	8082	0	69289	0	0	0	0	0	7907	0	0	0	0	0	0	0	0	0	0	0	4793.5	0	0	0	0	0	28804	26228.5	0	2730	0	0	43377.5	0	3932	25025.5	52230.5	0	8174	0	0	67416	0	0	0	6021	2728.5	1265.5	0
mOTU_linkage_group_41	0	28910.00097655	312325.5	0	106248	0	0	0	0	0	134576.4921875	0	0	0	0	131003.5	16314	2844.00012207	20252	0	413	0	281.5	51351.5	116719.5	0	0	0	4191.5	0	46586.0019531	0	0	3203	332465.5	15192	0	18225	31486	0	393	72721.5	44139	0	26688.5	298331	0	0	149588	379241	0	0	36199	0	0	0	0	7447.99975586	0	0	0	41023	0	0	0	0	25708.5	125825	0	0	294964	0	0	0	0	53225.5	0	0	53398	130722	341118.5	77267	59208.9980469	0	0	0	0	0	226651.5	0	0	0	0	0	0	0	0	105884.496094	8891	0	67835.0019531	0	0	0	0	0	49126.5	52356.5	0	33836.50097655	0	0	178987.9921875	221	8714.5	101236.5	30703.99902345	0	112632.503906	0	0	283518	0	0	0	198168.5	6797.5	0	0
mOTU_linkage_group_42	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	114	0	0	0	0	0	0	0	60.83333325386	0	0	0	0	0	0	53301	0	0	0	123	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	200.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830.5	0	0	617.5	0	0	0	0	0	0	0	591.1000061035	0	8060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.5	1030.5	0	0	0	0	0	0	0	0	466	767	0	0
mOTU_linkage_group_44	0	30309	20808.5	0	11071	0	0	0	0	0	192547	0	0	0	0	13241	2409	0	0	0	0	0	0	39913.5	0	0	0	0	11679.5	0	8270.5	0	0	0	157427	3108.5	0	0	0	0	0	51190	0	0	0	0	0	0	24949	202230.5	0	0	31165.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1045.5	107623.332031	0	0	419987	0	0	0	0	4792.5	0	0	191232	1213.5	194549.5	0	54567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14302.5	0	0	0	0	0	112614.5	116900.5	0	27.5	0	0	3071.99987793	0	0	158903	167794.671875	0	65538	0	0	977.5	0	0	0	405343.5	1644	0	0
mOTU_linkage_group_45	22006.5	2522.5	1218.00012207	22782	1192.000061035	30058.50097655	14739.5	10678.9995117	57582.0019531	10103.5	4287.99975586	27815	31970.50097655	12066	41923	293.000015259	1437.500061035	374	1823.500061035	37241	3924.99987793	12281.5	3715.49987793	2100.49975586	1736.5	0	356940.59375	14860	3001.5	103924.99609375	1856.500061035	5652	4867.50048828	9206.00048828	3733.99963379	2936	16326.99902345	2563.499938965	3555.50012207	45725	8969.50048828	4220.50024414	3258.49987793	5847.50024414	96506.50390625	1732.999938965	23713.0019531	2388.00012207	1850.49987793	3352.49987793	10900.0004883	1001.000061035	4785.5	6160.99975586	3738.49975586	4286.5	5057.50024414	238.5	12023.5004883	8690.49975586	59669.0019531	607.5	2713.5	127688.996094	10209.9995117	23518.4980469	3070	7649.5	66006.9980469	31363.99902345	2209.99987793	18364.50097655	38567.0019531	6547	40377	1080.500061035	8054.50024414	8965	6825.50048828	2019.000061035	787.000061035	5256.5	534	1109.5	331631.765625	13172.4990234	11407.00146485	9675.99951172	2299.99987793	7265.00024414	27112.50097655	9231.49951172	50624.5	23767.49902345	98552	23455	79983.99609375	834	10305	20387.50097655	8747	49574	13196.9990234	15204.4995117	12070.5004883	30358	1652	9343.5	36318.9980469	2753.49987793	13792.5	82835.49609375	7250	15103.5	2592.5	1435	399.499984741	350674.484375	2937.50012207	7312.00024414	121358	1009.999938965	10424.0004883	121177.507812	4713.99975586	914.5	21756	12089.5004883	26788
mOTU_linkage_group_47	0	0	0	253.158340454	0	0	0	0	21.6666660309	0	0	0	9.33333301544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66666650772	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	91.0904769897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.55555534363	4974.66650391	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_48	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3459	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79292.3359375	0	0	0	0	0	0	0	0
mOTU_linkage_group_49	0	0	0	0	0	0	436	0	0	0	0	0	20930	0	0	0	0	0	287.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40910.5019531	0	172.5	0	0	0	0	0	0	709.5	36858	0	0	0	0	0	0	0	3511.5	0	0	0	1014	0	0	4418	0	0	0	388	0	2240.5	0	279001.5	0	0	0	35423.5	0	0	0	209413.5	0	0	0	0	0	539	0	0	0	0	0	0	0	529.5	0	489	0	0	0	0	0	0	0	0	0	0	0	0	168.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1599	0	0	62	0	0	0	0	735	0
