Sample_29	Sample_A49	Sample_52	Sample_37	Sample_8	Sample_14	Sample_A57	Sample_A32	Sample_A11	Sample_49	Sample_A29	Sample_32	Sample_11	Sample_57	Sample_A37	Sample_A14	Sample_A52	Sample_A43	Sample_A60	Sample_A05	Sample_A26	Sample_46	Sample_65	Sample_23	Sample_A38	Sample_58	Sample_2	Sample_A23	Sample_A46	Sample_26	Sample_43	Sample_60	Sample_A58	Sample_38	Sample_7	Sample_6	Sample_39	Sample_A59	Sample_61	Sample_42	Sample_27	Sample_A64	Sample_A47	Sample_A22	Sample_A01	Sample_3	Sample_59	Sample_A39	Sample_22	Sample_64	Sample_47	Sample_A27	Sample_A04	Sample_A61	Sample_A42	Sample_A53	Sample_A15	Sample_A36	Sample_56	Sample_10	Sample_33	Sample_A28	Sample_48	Sample_A10	Sample_A33	Sample_A56	Sample_9	Sample_15	Sample_36	Sample_53	Sample_A48	Sample_28	Sample_51	Sample_17	Sample_34	Sample_A54	Sample_A12	Sample_A31	Sample_A09	Sample_12	Sample_31	Sample_54	Sample_A17	Sample_A34	Sample_A51	Sample_A63	Sample_A40	Sample_A25	Sample_A06	Sample_45	Sample_20	Sample_A18	Sample_1	Sample_A20	Sample_A03	Sample_A45	Sample_25	Sample_63	Sample_40	Sample_18	Sample_4	Sample_19	Sample_5	Sample_41	Sample_62	Sample_24	Sample_A44	Sample_A02	Sample_A21	Sample_A19	Sample_21	Sample_44	Sample_A07	Sample_A24	Sample_A41	Sample_A62	Sample_A50	Sample_A35	Sample_A16	Sample_55	Sample_30	Sample_13	Sample_A08	Sample_A30	Sample_A13	Sample_A55	Sample_35	Sample_16	Sample_50
mOTU_linkage_group_54	140543.996094	2312.50024414	0	76680.5	0	112801.5	14845	33092.4980469	270.5000076295	19102.5	0	79860.50390625	154298.5078125	23740.99902345	35556.4980469	0	443.000061035	0	1755.5	277578.515625	4904.99975586	52242.9980469	21558.50097655	0	0	0	294995.984375	30033.50097655	1737.99987793	34969.9980469	245.4999923705	10168.5	39818.5	36940.4980469	122.999984741	246	19898.00097655	1016.4999084475	17758.5004883	1671807.125	791.5000305175	0	39063	52101.5039062	16462.49902345	2758.5	23519	7948	0	34.5	77774	4957.49975586	285.000015259	55626	52407.4980469	11331.9995117	9589.50024414	3278.5	23711.50097655	190973	12595.5004883	14910.99951175	2342.99987793	63615.5	8943	8268	3535.99987793	0	66053.5	23412	0	36711.4980469	35754.9980469	24682.00097655	141366	2215.999938965	227350.5	39206.5	0	1684	0	33295.49902345	0	7705.50048828	194799.515625	69736.25390625	38627.50097655	2821.5	42	201562.984375	135406.0078125	155631	40255	46682	18748.99902345	469631	95379.5	0	491.9999694825	404682.96875	30647	12533.99951175	44680.9980469	39098.0019531	11334.375	17432.5	336.5	0	412963.03125	356.999984741	115091.492188	64579	0	248	11433.4995117	0	0	31528.49902345	0	66176.4980469	54280.0019531	1157.999938965	30567.49902345	93638.5	242310.9921875	0	214708	10027	3255
mOTU_linkage_group_56	0	8909	5808.5	0	21140	0	0	0	0	0	84635.5	0	0	0	0	30653	7241.5	57.5	0	0	3669	0	1693	295114	949	0	0	0	99362	0	18592.5	0	0	0	173821.5	43305	0	5374.00012207	0	0	626.500061035	394726	4278	0	38.5	89457.5	0	0	9748.5	12316.5	0	0	2838.000061035	0	0	731	0	102	0	0	0	0	0	0	0	0	0	342938.5	0	0	56919.5	0	0	0	0	0	0	0	524489.5	53898.5	162597	24979.5	41191	0	0	0	0	0	4325.5	0	0	0	0	0	0	0	0	0	0	0	49774	0	0	0	0	0	86842	23903.5	0	360.5	0	0	47581	0	0	76784	74549	0	132125.5	0	0	1427	0	0	0	56998	37938.5	1675.5	0
mOTU_linkage_group_57	5521	0	311542.71875	0	0	0	926	0	156.5	0	12309	0	0	0	0	266535.875	189975	10761	19861	0	158702.5	0	0	774	823574.15625	0	0	0	0	0	868645	0	23.5	0	16372	0	0	306852	286530.5	0	7217	5382.5	51360	0	411.5	187700.5	0	585.9999694825	0	8926.5	0	4557	831567.5	0	0	2487.5	3000.99987793	66351.5	0	0	0	1026.9999084475	0	0	0	386650.25	0	114682	0	0	25553	123	0	0	0	0	0	1322	114433	668829.75	1454.5	13596	16885.0004883	0	0	0	175.5	80601	467743.5	0	0	289.5	0	2605	0	0	61.5	529566.03125	0	884	195511.5	0	0	0	3825.5	0	112571	1088969.375	496	76291	0	0	590047.75	107.5	19380.5	39503.125	32851	27.5	38959.5	0	0	19440.5	0	0	0	1745.5	9278	0	0
mOTU_linkage_group_59	2685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403.5	0	0	0	0	0	0	0	0	0	0	2222.5	0	0	0	0	0	0	0	3494	0	1908.5	0	0	0	22757	0	7748.5	0	0	0	0	0	624.333343506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	16602.25	0	0	0	0	0	0	2614	0	0	0	0	0	0	0	0	1275.5	0	0	0	5152.25	0	11278.5	0	0	0	0	30908.25	508.5	15594.5	0	0	0	0	0	4684.5	0	3855.5	1.04166662693	124768.75	0	0	0	0	0	0	0	0	0	0	119.5	0	38311.75	0	1384	0	0
mOTU_linkage_group_63	960856.1875	766430.84375	370923.078125	491.9999694825	385523.3125	611147.09375	1175006.8125	1725694.9375	1603.99963379	63107.9199219	1081361.34375	70302.91796875	709309.28125	408145	433808.40625	1429247.6875	1162027.96875	1513661.375	784624.6875	2182029.875	2258867.1875	1003858.84375	724710.53125	416007.0625	1338530.0625	1556.999938965	0	5156.50073242	730975.28125	55.9999961855	862136.71875	616495.9375	2181143.4375	867440.9375	110189.898438	442258.15625	3570.29992676	628242.0625	1128714.5	123	597313.28125	685370.09375	1370017.3125	2061391.625	16846.99902345	231565.890625	263331.484375	1763426.0625	613973.1875	182382.265625	1107897.5625	1551893	2456559.25	1884495.9375	2771149.25	1688739.875	2270489.5	2043170.8125	264024.0546875	1948729.625	23506.4375	1664437.9375	659165.5	203.0000076295	1510886.0625	1512138.9375	345135.84375	389177.40625	93206.9765625	0	619116.78125	576488.21875	861036.4375	549204	468.000015259	1344198.5	2019922.625	3142451.5	88617.53125	508549.046875	447860.4375	841315.1875	1331776.875	2599419.125	990.999938965	1335748.875	1121919.375	2191412.875	1060103.9375	132936	0	3643941.375	25337.5	1288250.8125	36594.9638672	1137982.15625	0	717244.53125	258722.59375	1086667.5625	1007426.0625	0	638300.78125	137065.5390625	1114419.5625	316167.609375	1400156.5625	1705415.6875	2089104.125	1238974	171008.1484375	137436.4296875	1562636.875	1067526.5	1430781.8125	747627.03125	790515.78125	200.000022888	1168728.8125	762324.375	4367.541748045	1031201.75	1197788.78125	3550.85925293	2560510.5	514005.296875	784369.28125	465485.875	436159.25
mOTU_linkage_group_66	0	0	195376	0	20901	0	0	0	0	648.9999694825	31326.5	0	0	0	0	147758	76487.25	7591	0	0	371719.484375	0	13125.5004883	90187.5	250234.5	0	0	0	5231	0	223413	0	0	12626.5	135417.5078125	2141	0	49662	169040.5	0	23448	15650.4995117	260188.4921875	0	450801.515625	167184.5	144319	8083.5	126854.503906	98557.5	55	9070.5	273435	0	0	10374.5	481.500015259	6167.5	1705.5	0	0	5253.5	241.5	0	186	0	17806.9995117	55712.5	0	0	29059.50097655	0	0	0	0	4374	0	243.5	128419.5	188854	569172.96875	152892.5	112215.503906	0	0	0	0	19000.99902345	254467	0	0	0	0	0	0	0	0	166441	132070.5	0	81656	0	0	717.0000305175	1619	0	131517	307843.5	0	0	0	0	145287.4921875	28437.5	35009.5	44317.5	62731.4980469	0	35812.5	0	0	179066	0	62	0	966	6997	0	0
mOTU_linkage_group_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25726	8396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mOTU_linkage_group_71	0	0	0	9748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26763.5	0	0	0	0	0	0	0	0	0	55149.5	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	10883.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	184.5	0	2437.5	429.5	0	0	0	0	0	0	0	5105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0
mOTU_linkage_group_72	21275	0	6856.5	491.5	0	56202.5	48424.5	41770.5	2.019047617915	74811	12281.5	0	87343	12791.5	65849.421875	14383.9995117	0	2425	1899	103127.5	620	0	71955	57	14841	0	173889.9921875	33101.48046875	8102.99926758	954299.9375	45207.125	13721.9995117	3741.5	2021	84626.5	25912.5	30517.5019531	2107	34630	18729	194784	31672	1504	54261.5	38576	25564.50097655	14207.5004883	1874	9845.5004883	14177	144238.0078125	31700	17978.5	17818	0	0	4866	12655	4295	347111.75	171798.5	8282.5004883	224033	17410	25064.49902345	12859.9199219	85892.5	26934	71737.5	0	1321	0	300092.171875	0	46096	0	99516.25	8736.50048828	28229.99902345	39585.0019531	7487.5	58138	0	34825.75	0.939999997615	12581	54006.6542969	20164	18528.5	40589.5	5817.49975586	0	570318.8125	16524.00097655	192643.5	0	0	77052.5	3683	148326.5	0	134656.7890625	3764.5	150593.5	41760.0019531	64871	3560.99987793	57480.5	24466.375	1107	0	216611.5	28291.5	0.95999997854	1034	27633	3675	57162.5	0	177002.2109375	224934.7578125	727	135150.496094	128707.5	40750.2636719	2832.50012207	133043.5	107077	422092.078125
mOTU_linkage_group_73	2.285714387895	13.2461538315	3.466666698455	0	0	0.66176468134	5.6410255432	3.133333444595	0	0	11.312120914455	0	0	0	3.133333444595	2.46153855324	12.332085132605	1.857142806055	3.466666698455	13.44444465635	17.73333358765	0	1.09090912342	4.02857160568	13.53574848174	0	0	0	3.73333334923	0	0	0	9.25	0	3.133333444595	0	0	0.5	0.66176468134	0	3.133333444595	3.501165509225	0	6.8666667938	0	0	0	0	0	0	2.25	13.73193466662	21.50670909884	1.67857146263	2047.00305176	26.82003581522	17.7267398834	3.466666698455	0	0	0	3.93333339691	0	0	7.696969747565	8.512121200555	0	0	0	0	2.299999952315	0	0	3.73333334923	0	5.50769233705	0	20.29254138472	0	0	3.33333325386	3.133333444595	19.236345171935	9.386363625525	0	14.312120914455	3.200000047685	11.24285697935	0	0	0	12.72618961335	0	17.66526901722	0	5.3205127716	0	2.358974456785	0	0	9.38850593565	0	3.26666665077	3.400000095365	0	0	4.550000190735	0	6.80000019075	19.0831489563	0	0	7.1348361969	13.7264957428	5.224242448805	2.46153855324	2.349999904635	0	3.599999904635	6.71379327775	0	3.200000047685	14.143136799315	0	6.09012556076	0	0	0	7.877738833425
mOTU_linkage_group_75	0	124	0	0	0	0	119.5	0	25340.09960935	0	0	0	0	0	0	0	0	0	0	0	566.5	0	0	0	0	0	0	0	0	292	362	0	207	460.5	0	0	0	230	1446	0	1623	0	708.5	0	1098.5	1701	16643	0	0	0	0	76.5	0	0	0	0	0	0	0	0	0	0	0	2689	0	0	0	0	246	32176.5	41	73950	0	0	0	0	26835	0	0	123	0	0	0	0	2332.5	0	310	0	686	0	369	0	26	0	1277.000061035	0	799	0	0	0	0	0	31930	0	0	0	0	269.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	14358.9995117	0	0
mOTU_linkage_group_76	0	0	0	0	0	0	0	0	0	11075.5	0	0	0	0	5890	0	0	0	0	0	0	0	0	0	0	0	0	3681	0	0	0	0	0	0	0	235	9472.5	0	0	0	0	0	0	0	0	0	0	693	0	0	10876.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1655	0	0	0	0	0	15608.5	0	0	0	0	0	0	0	1246.5	0	0	0	0	0	0	0	79864.5	0	0	0	0	0	0	0	0	0	0	0	0	0	11169.5	0	0	0	0	0	0	0	2289.5	95647.5
mOTU_linkage_group_80	4041	0	207543.9921875	183	0	0	18715.5	3086.5	0	0	6813.5	0	0	0	0	63581.0019531	108499.5	15633	14791	62	58880.0019531	303	0	0	88248	0	0	1824.25	0	0	19400.5	0	625.5	0	34544.5	0	0	50619	64394	0	492	3191.5	33500.5	3835.49987793	0	13390.5	0	16244	0	416501.5	0	74206.0019531	160924.5	0	121.5	663.25	3202	39631.5	1440.5	0	0	551.5	0	0	1469.5	641279.5	406	76198	0	0	11821.5	0	0	0	0	0	0	386	127583	307079.5	0	8877.00024414	10251	19248	233.5	9191	13519.0004883	14480.5004883	102672.5	139	0	0	0	2203.333374025	237.5	7354.5	0	270183	0	0	15369.5004883	0	0	0	1032	0	58217.5	254681.9921875	145624	10966	0	0	53964	0	19943	61525.5	12661.5	1551.5	14015.4995117	0	0	197080	1605.5	0	0	1305.5	184.5	0	0
mOTU_linkage_group_81	0	0	0	0	3370	0	0	0	0	0	53719	0	0	0	0	0	0	0	0	0	0	0	0	47416.5	0	0	0	0	14012	0	0	0	0	0	118154	5628	0	0	0	0	0	67947	0	0	0	0	0	0	3949.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90407	0	0	111956.5	0	0	0	0	0	0	0	450671	3354.5	33734.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37548	28.5	0	0	0	0	0	0	0	705.5	62343	0	0	0	0	0	0	0	0	73777	0	1548.5	0
mOTU_linkage_group_85	262.200012207	2089	0	7163.5	0	0	12461.36425785	843.5	13.1818180084	0	0	0	0	0	47024	0	0	0	167	32869.77929685	1824.5	7058.50024414	0	0	80.5	0	0	3353	0	59840	0	0	3292	241	0	2864	0	3162.5	4975.75	0	5304	216.4166641235	218.5	0	265081.9765625	0	0	362.5	0	246	0	1640.5	0	0	1100	0	1221.5	0	0	0	0	0	0	84026.546875	0	2250.5	0	856	13634.5	30147	0	0	415	0	127871.355469	0	23479.04589845	716	0	0	0	1705.5	228.5	0	252417.5	733.875	4060.00012207	4630.5	758.5	0	43256.1875	10128	0	1101	18742.75	1249	0	0	0	28792.3183594	61.5	8.669117689135	1741	0	6350	0	164.5	341.5	9199	1075	0	1353	433	882.5	0	0	0	184035.234375	2897.5	0	31406.45800785	0	348	41101	7090.99975586	0	7053	0	691.666656494
mOTU_linkage_group_86	0	424	0	0	1505.5	0	0	0	0	0	3500	0	0	0	0	0	0	3991.5	0	0	0	0	0	21917.5	0	0	0	0	0	0	0	0	0	0	27289.5	4272	0	57.5	0	0	0	6042.5	0	0	0	0	0	0	117809.5	7846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10425	0	0	73651	0	0	0	0	0	0	0	10040.5	0	54380.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8682	0	0	0	0	0	0	0	0	1479	58736.5	0	0	0	0	0	0	0	0	28947	791	0	0
mOTU_linkage_group_87	2026	4679.5	0	0	1332.5	0	0	0	0	62822.5	208.5	220699	20954	6062	17441.5	99.5	1159.5	0	1479	0	1434.5	768.5	6159.5	7520.5	372.5	0	171997.5	1873	0	61.5	0	18624	0	1223.5	516	53426	861	0	1634.5	0	48996	0	2367.5	0	26772	590.5	104572	4021	4184	1075	180	0	0	0	0	4059	5479.5	1463	5687.5	0	102466.5	0	7001.5	0	9550.5	0	2630	894	0	0	217.5	0	37522	4595.5	10309	0	0	124	0	0	6985.5	1073	8572.5	2287.5	0	7070.5	0	50228.5	1118.5	38802	0	0	271330	3119	16756.5	602	0	1263.5	35662.5	46448	267.5	0	0	37349	0	79112	1152.5	5201	0	0	0	0	402	0	2418.5	0	0	898	1141.5	3451.5	0	2484.5	3130.5	0	0	0	1749	27519	32767.5
mOTU_linkage_group_88	10682.5	29646.50097655	0	428.5	0	6997	15527.9995117	39544.4980469	49920	121.5	5748	20263.0019531	278	61.5	18148	23071.50097655	39466.25	31472.5839844	202099.25	10899.5	27641	10038.5	0	2514.5	16128	0	1565.5	397848.015625	101239.00000025	7493.50024414	862.5	11339.4995117	8530.5	1165.5	245.999984741	16824.4995117	38798.0039062	3377.49987793	2702.5	3432.99987793	18583.50097655	8622	5712	29480.6669922	4721.5	1811	0	37572.25	123	123	4660.5	9792.5	5881.99975586	13764.9995117	18203	12652.1674805	29367.4169922	12043.9995117	11354.5	13345.9990234	0	38808.25	10502.9995117	64904.5	42331.5019531	8741	6319.50024414	2726.5	4328.5	39054.5	15713	36235.6679687	12077	1704.5	2116	100261	14215	35745.5	8483	984.0000305175	2433.5	8167.50024414	10859	24372.50097655	6467.50024414	17789.49902345	567705.59375	39651.0019531	16010.0004883	22106.49902345	8875	31851	40774	24867.49902345	46567.5	64537.5839844	3015.99975586	1578	2054.00012207	5536.50024414	6549.5	1434	1005.5	3090	6836.5	132945.5	19323.49902345	10795.4995117	4918.5	9993	11726.5	0	31740.91796875	247631	9301.49951172	31218	8188.5	57272.9960938	25097.50097655	18123.3330078	613.5	123	521989.625	26325.5	0	58477	8659.49951172	34442.00097655	12973.5
mOTU_linkage_group_91	125920.863281	418.499984741	3793.99987793	267662.9765625	7981.00048828	56397.4960938	10480.63671875	10805.5	328588.4765625	52358.0019531	514.0000305175	44809.609375	53036.125	106008.00781225	67940.6269531	248	1559.150024415	385.999984741	481	38737.26757815	871.666717529	32123.49902345	29205	2132.5	1279.000061035	0	450875.328125	1576.000183105	1230.041748045	141347.5078125	32936.5	18914.49902345	2393.49987793	17561.50097655	6129.50024414	6882	18768.49902345	3502	18981.0004883	145311.7890625	8180.50024414	5666.81652832	2227.99975586	2847.35839844	13166.4995117	23651.5410156	45777.8339844	50.0000038147	9929.0004883	50354	10124.9995117	696.083343506	5348.5	7323	3620.416625975	2295.5	1821.06665039	225.000015259	17169.1313477	16839.50048825	89328.375	253	8550	40843.5	5402.091796875	3357.12475586	69111.50390625	5979.49975586	236914.3359375	12699.91552735	153	39357.5	48608.5019531	54313.9980469	205088.5	452.5000305175	17243.4536133	4536.666748045	8110.5	34219	4401.49987793	41734.0019531	1107.11907959	243.4999923705	55123	8898.49951172	23356.47753905	2672	1238	4989.5	165249.640625	7405.73535156	105041.35156275	31528.5	46031.1660156	6356.00024414	232246.9765625	6196.50024414	11011.5	48233.0019531	21362.5	406814.21875	53570.7089844	85296.5	28578.0019531	21380.5732422	1357	1053.9999694825	52817.99414065	1009.49996948	15003.54248045	241006.2109375	3657	397.0000457765	431.5000305175	2613.24987793	115	56454.49609375	344.500015259	1997.5	253940.546875	13818.99902345	7825.22314453	41749.0019531	6574.5	0	49847.41796875	26057.4980469	40818.83398435
mOTU_linkage_group_93	0	11493.5	204831	0	13483.5	0	0	0	20551	775	8759.5	0	0	0	0	11192.5	32350.5	6869.49975586	31012	0	214519.5	0	51063	108703.5	32357	0	0	0	9847	0	155921	0	0	9578	1022.5	3613.5	0	61634	36866.5	0	16595	16435.5	34893	0	571858.5	154300.5	142000.5	0	30445.5	47750.5	0	428	57312	0	0	6929.5	32	7619.5	492	0	0	56588	0	0	0	65471	88914	17932.5	0	0	2809.5	3407	0	0	0	93949.5	0	570	20453	56448.5	194919	105065.5	43055	0	0	0	0	47194	100699.5	0	0	0	0	0	0	0	0	108504	55533.5	0	70861	0	0	61.5	3151	0	14376	79286	0	81072.5	0	0	80291.5	577.5	26442	19397	12200	0	29993.5	0	0	114312	0	0	0	4303	19456.5	0	0
mOTU_linkage_group_95	78955.00390625	17982.33691405	24763.49902345	94061.92578125	70959.5	410243.234375	69095.03710935	70607.2265625	32625.0019531	177809.8359375	12580.00122069	389710.953125	297491.9296875	106923.769531	114437.2070315	28810.2558594	20739.99902345	18208.57226565	26989.3876953	264224.03125	20881.50097655	153436.3984375	55063.57226565	21200.00097655	25015.13476565	489.5000305175	88243.3046875	27892.50097655	50031.7851562	83545.515625	16654.4995117	64349.5	32779.49902345	91552.27343775	11443.50146485	73995.82421875	170888.9609375	11670.9995117	12859.49951175	421488.296875	126183.37890625	3884.99963379	65570.859375	70625.94921875	64745.02929685	9397.99951174	120043.46875	37741.49804685	70172.9980469	71363.0644531	116944.9921875	26442.11816405	28446.0253906	56636.70703125	24260.50097655	29279.1572266	46509.79296875	21866.2763672	213139.046875	322877.484375	186659.890625	33473.0019531	507591.28125	85400.37109375	110338.4765625	50653.2363281	125796.859375	12417.9995117	260530.5234375	80177.50390625	3599.5	23967.9980469	208335.953125	99684.50781225	111492.6054685	20060.6679687	55250.4277344	82143.734375	1514.50036621	36551.4980469	17196.50097655	86615.45703125	37675.37890625	41698.9902344	78010.83984375	35695.6367187	64404.15625	29087.50097655	14855.5	51419.4980469	66733.49804685	116532.71875	521232.375	69736.203125	70633.39257815	169444.8515625	200280.484375	41680.4980469	148879.625	78574.0566406	43508.9980469	43976.4980469	47216.5566406	162405.4609375	97616.347656	137751.640625	12461.99853517	21775.8486328	94384.43749975	43153.4960938	304515.09375	189392.0859375	53607.93945315	26974.0722656	94041.92968775	8832.49902342	11663.38183595	45638.96875	8323.5	187227.921875	181810.375	32502.49902345	58881.00390625	97028.35546875	104511.3007815	12977.50048825	111392.45703125	170014.5859375	135339.46875
mOTU_linkage_group_97	0	11487	40093	0	37714	0	0	0	0	0	7582.5	0	0	0	0	2480.5	40520	1025.5	0	0	35430.5	0	18886.5	88317	2272.5	0	0	0	5753.5	0	119495	0	0	0	2080	6041.5	0	9052.5	0	0	1218	19422.5	7392.5	0	1778	155780	0	0	15568.5	39124	0	0	98109	0	0	3322.49987793	0	4430	0	0	0	0	0	0	0	0	2641.5	29013.50097655	0	0	13512.9995117	0	0	0	0	5205	0	0	146481	59873.5	76011	47823.5	29244	0	0	0	0	0	56017.5	0	0	0	0	0	0	0	0	0	4243	0	109550	0	0	0	42	0	29138.5	69368	0	0	0	0	85276.5	0	2680.5	49433	42672.5	0	2600	0	0	83561.5	0	0	0	4358	13517	0	0
mOTU_linkage_group_98	0	0	0	0	0	6919.5	27424.1669922	100891.5	0	93	0	0	694	1454.192321775	34.2999992371	0	0	0	44416.75	54306.625	0	12.65000009535	492	0	0	0	0	12.22499990465	0	485	0	20665	2068.25	0	246	0	6929	0	0	14840.5	4418.5	92	0	0	58320.5	0	0	0	307.5	0	5159.63330078	0	0	294.25	0	824.5	27927.5	0	689	0	5764.5	8245.25	0	0	255.8999938965	0	0	0	51371.80078125	0	0	0	205772.7890625	9404.35009765	347	2911.5	115442.691406	1202.5	0	0	0	0	0	1733.599975585	0	7107	106264	3807.03845215	0	0	8.5	0	17244.5	418	87296.2734375	0	0	12733	0	0	0	2285	0	2514	0	4133.69995117	0	66.699999809265	42673.375	0	0	0	3478	0	0	332.5	9	26862.3330078	0	0	7794	0	211953	1630.099975585	0	0	0	9119.37011719	7.80000019075
mOTU_linkage_group_99	2960.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6794.5	0	0	0	0	0	303	0	800.5	4170.5	0	0	0	0	0	52647.5	0	0	540	6843.5	0	0	12452.5	0	0	246	0	302.5	0	0	22263.5	0	0	0	0	0	0	0	0	0	0	0	7735.5	0	0	0	0	0	0	0	0	0	3212.5	0	0	221	89	0	0	0	0	0	0	0	25688	4530	7275	7833.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72422	0	0	31940	0	0	0	8600.5	0	5764	0	0	0	0	0	0	0	8165.5	33	0	0	3703	0	0	0	0	0	0	0	1535	0	0
mOTU_linkage_group_107	10671.5	3531.5	0	0	2992.5	0	7300.5	1429	18435.5	914.5	57.5	24268.5	239.5	98	1008.5	0	1592.5	1527	12751	1019.5	18149.5	0	1137	228	55.5	300257.5	246	4469.5	9068.5	1073	0	1216	3868.5	1152	0	3859	2793.5	3066	6949.5	0	799.5	362.5	488	124	0	635	11901.5	3289.5	369	481	1404.5	1726	247.5	172.5	0	3870	2309	701	7723	738	0	2884	0	3532	2608	0	1476	319	5221	0	194	16179.5	8603	8524.5	0	6093	11011	1834.75	0	1268.5	0	4939	0	2154.5	186	485	670	18927	400.500015259	0	233	0	174.5	15389.5	1537.5	7940.5	2385	492	246	11134	922.5	0	1696	2722.5	2513.5	6419	0	0	871.5	3249	0	9518.5	3213	0	0	217.5	0	615	989	4302.5	611.5	0	7114.5	62	6748.5	1973	1669.5	1433.5	1669
mOTU_linkage_group_108	6942	0	184.5	0	0	0	177	0	0	0	1258	0	3896	1751	4933	1964.5	0	1358.5	0	0	2124.5	0	2308.5	0	805.5	0	0	0	0	0	13646.5	3120	6195.5	1859	659	0	285.5	5356	32194.5	0	1029	460	3330	6083.5	0	289	0	823.5	464	0	18653.5	7246.5	2975	9501.5	0	0	8828.5	3815	0	7110.5	4233.5	716.5	0	0	399	0	0	577	0	0	0	0	5466.5	861	0	0	0	0	0	1705	0	3355	0	2985	1527.5	3968.5	0	2798.5	0	0	0	43968	0	2433	372	0	2326	3696.5	0	174014.5	0	0	5470.5	0	0	0	764.5	6480.5	0	7418.5	18548.5	7018.5	1052	0	9720.5	746.5	0	452.5	0	9508	0	0	1358	0	33048.5	0	2006.5	4460.5	800.5
mOTU_linkage_group_109	34455.5253906	3903.44970703	1252.16668701	156836	2866.00012207	31454.5	37041	12628.5	71070.15039065	28488.8330078	2860	47811.4980469	104552	34294	128917.5703125	1251.5	2322.05566406	1496.205688475	6661.49975586	87525.5	12670.5	31207.375	13702	1311	3979.727661135	0	193809.5	11714.3071289	2850.29980469	213244	14051.22509765	14072.0834961	11346.8745117	23173.8886719	4190.5	2257.099731445	25764.59472655	9904.95263672	16686.1123047	212456.640625	32421	4762.0501709	3257.7779541	13068.5751953	196796.265625	15833.5	79508.875	4258.666503905	1586.474975585	3898.625	13651	8309.5	7104.20019531	16997.9326172	12617.375	12305.75	3276.622558595	6235.68432617	39982.44921875	35478.3515625	30308.4560547	3272.05004883	12377.9248047	300880.890625	7862.47607422	18012.5	14620.97509765	1314.000183105	186795.265625	65992.51171875	429.500015259	35365.6953125	33819.55078125	26708.5	100983	3814.91491699	21813.2832031	26493.5097656	3307.49975586	10318.5004883	1748	25048.86035155	2234.84503174	4153.5	203308	26673.7832031	7316.5	28494.99902345	5466.5	36513.5761719	62866	33196	113517.003906	47417.5	46236.8574219	22121.50097655	112836.007813	8697.87548828	34371.32421875	32345.6044922	6258.5	55520.6269531	29137.75	54199	50034.69921875	33914.5	1821.500061035	9874.64990235	93206.296875	5187.00024414	22262.35058595	146182.6640625	9262	7045.5	8303.16699219	4149.99975586	710.5	584042.5	858	12162.5	165461.21875	3686.125	25497.375	192804.578125	30429.5	1585.619018555	84365.578125	36178.30078125	88803.57421875
